franchise,season,avg_score,n_episodes
The Walking Dead,10,-0.036,22
The Walking Dead,11,-0.005,24
The Witcher,1,0.012,8
The Witcher,2,0.087,8
The Witcher,3,-0.042,8
The Witcher,4,-0.078,8
Tires,1,0.087,6
Tires,2,-0.101,12
Too Hot to Handle,1,0.026,9
Too Hot to Handle,2,0,10
Too Hot to Handle,3,0.046,10
Too Hot to Handle,4,0.012,10
Too Hot to Handle,5,0.038,10
Too Hot to Handle,6,0.008,10
Toxic Town,1,0,4
Trailer Park Boys,1,-0.01,6
Trailer Park Boys,2,-0.057,7
Trailer Park Boys,3,-0.037,8
Trailer Park Boys,4,0.047,8
Trailer Park Boys,5,0.001,10
Trailer Park Boys,6,-0.03,6
Trailer Park Boys,7,0.004,10
Trailer Park Boys,8,0.04,10
Trailer Park Boys,9,0.045,10
Trailer Park Boys,10,-0.005,10
Trailer Park Boys,11,-0.046,10
Trailer Park Boys,12,0.018,10
TRUE,1,-0.094,8
TRUE,2,-0.275,8
TRUE,3,0.044,8
TRUE,4,-0.188,6
Unicorn Academy,1,-0.101,9
Unicorn Academy,2,0.024,10
Unicorn Academy,3,-0.154,1
Unseen,1,-0.201,10
Unseen,2,-0.159,10
Valeria,1,0.023,8
Valeria,2,0.109,8
Valeria,3,0.092,8
Valeria,4,0,6
Virgin River,1,0.082,10
Virgin River,2,0.11,10
Virgin River,3,0.05,10
Virgin River,4,0.036,12
Virgin River,5,0.018,12
Virgin River,6,-0.029,10
Weak Hero,1,-0.014,8
Weak Hero,2,-0.04,8
Wednesday,1,0.069,8
Wednesday,2,-0.117,8
When Life Gives You Tangerines,1,0.162,16
When the Phone Rings,1,0.005,12
Woman of the Dead,1,-0.098,6
Woman of the Dead,2,-0.123,6
Wrong Side of the Tracks,1,-0.088,8
WWE SmackDown,1,0.011,20
WWE SmackDown,2,0.027,52
WWE SmackDown,3,-0.006,52
WWE SmackDown,4,-0.007,52
WWE SmackDown,5,0.011,52
WWE SmackDown,6,0.002,53
WWE SmackDown,7,-0.002,53
WWE SmackDown,8,0.007,52
WWE SmackDown,9,0.041,52
WWE SmackDown,10,0.044,52
WWE SmackDown,11,0,52
WWE SmackDown,12,0.001,53
WWE SmackDown,13,0.012,52
WWE SmackDown,14,0.015,52
WWE SmackDown,15,0.014,52
WWE SmackDown,16,0.005,52
WWE SmackDown,17,0,53
WWE SmackDown,18,0.003,52
WWE SmackDown,19,-0.005,52
WWE SmackDown,20,0.003,52
WWE SmackDown,21,0.007,52
WWE SmackDown,22,0.002,52
WWE SmackDown,23,0.003,53
WWE SmackDown,24,-0.011,52
WWE SmackDown,25,-0.082,52
WWE SmackDown,26,-0.094,52
WWE SmackDown,27,-0.02,52
XO, Kitty,1,0.135,10
XO, Kitty,2,-0.005,8
Yellowstone,1,-0.102,9
Yellowstone,2,-0.069,10
Yellowstone,3,0.003,10
Yellowstone,4,-0.013,10
Yellowstone,5,0.044,14
Young Sheldon,1,0.058,22
Young Sheldon,2,0.081,22
Young Sheldon,3,0.084,21
Young Sheldon,4,0.049,18
Young Sheldon,5,0.082,22
Young Sheldon,6,0.088,22
Young Sheldon,7,-0.012,14
Younger,1,0.018,12
Younger,2,-0.022,12
Younger,3,-0.031,12
Younger,4,0.082,12
Younger,5,0.056,12
